group,stat,flat
league,,league
season,,season
team,,team
player,,player
nation,,nation
pos,,pos
age,,age
born,,born
90s,,90s
Performance,CrdY,Performance__CrdY
Performance,CrdR,Performance__CrdR
Performance,2CrdY,Performance__2CrdY
Performance,Fls,Performance__Fls
Performance,Fld,Performance__Fld
Performance,Off,Performance__Off
Performance,Crs,Performance__Crs
Performance,Int,Performance__Int
Performance,TklW,Performance__TklW
Performance,PKwon,Performance__PKwon
Performance,PKcon,Performance__PKcon
Performance,OG,Performance__OG
