group,stat,flat
league,,league
season,,season
team,,team
player,,player
nation,,nation
pos,,pos
age,,age
born,,born
90s,,90s
Total,Cmp,Total__Cmp
Total,Att,Total__Att
Total,Cmp%,Total__Cmp%
Total,TotDist,Total__TotDist
Total,PrgDist,Total__PrgDist
Short,Cmp,Short__Cmp
Short,Att,Short__Att
Short,Cmp%,Short__Cmp%
Medium,Cmp,Medium__Cmp
Medium,Att,Medium__Att
Medium,Cmp%,Medium__Cmp%
Long,Cmp,Long__Cmp
Long,Att,Long__Att
Long,Cmp%,Long__Cmp%
Ast,,Ast
A-xAG,,A-xAG
KP,,KP
1/3,,1/3
PPA,,PPA
CrsPA,,CrsPA
