group,stat,flat
league,,league
season,,season
team,,team
players_used,,players_used
Poss,,Poss
90s,,90s
Touches,Touches,Touches__Touches
Touches,Def Pen,Touches__Def Pen
Touches,Def 3rd,Touches__Def 3rd
Touches,Mid 3rd,Touches__Mid 3rd
Touches,Att 3rd,Touches__Att 3rd
Touches,Att Pen,Touches__Att Pen
Touches,Live,Touches__Live
Take-Ons,Att,Take-Ons__Att
Take-Ons,Succ,Take-Ons__Succ
Take-Ons,Succ%,Take-Ons__Succ%
Take-Ons,Tkld,Take-Ons__Tkld
Take-Ons,Tkld%,Take-Ons__Tkld%
Carries,Carries,Carries__Carries
Carries,TotDist,Carries__TotDist
Carries,PrgDist,Carries__PrgDist
Carries,1/3,Carries__1/3
Carries,CPA,Carries__CPA
Carries,Mis,Carries__Mis
Carries,Dis,Carries__Dis
Rec,,Rec
