player,team,league,season,position_group,position_full,minutes,archetype,archetype_name
Alfreð Finnbogason,Augsburg,Bundesliga,2018,FW,FW,1814.0,FW-0,Low involvement centre forwards
Caiuby,Augsburg,Bundesliga,2018,MF,"MF,FW",2855.0,MF-1,Advanced attacking midfielders
Daniel Baier,Augsburg,Bundesliga,2018,MF,MF,2538.0,MF-0,Deep ball winning midfielders
Daniel Opare,Augsburg,Bundesliga,2018,DF,DF,1417.0,DF-1,Wide attacking defenders
Jan Morávek,Augsburg,Bundesliga,2018,MF,MF,702.0,MF-0,Deep ball winning midfielders
Jeffrey Gouweleeuw,Augsburg,Bundesliga,2018,DF,DF,2385.0,DF-0,Deep central defenders
Jonathan Schmid,Augsburg,Bundesliga,2018,DF,"DF,MF",1473.0,DF-1,Wide attacking defenders
Kevin Danso,Augsburg,Bundesliga,2018,DF,DF,1105.0,DF-0,Deep central defenders
Koo Ja-cheol,Augsburg,Bundesliga,2018,MF,MF,2046.0,MF-0,Deep ball winning midfielders
Marcel Heller,Augsburg,Bundesliga,2018,MF,MF,1299.0,MF-1,Advanced attacking midfielders
Marco Richter,Augsburg,Bundesliga,2018,MF,"MF,FW",644.0,MF-1,Advanced attacking midfielders
Martin Hinteregger,Augsburg,Bundesliga,2018,DF,DF,2655.0,DF-0,Deep central defenders
Michael Gregoritsch,Augsburg,Bundesliga,2018,MF,"MF,FW",2527.0,MF-1,Advanced attacking midfielders
Philipp Max,Augsburg,Bundesliga,2018,DF,DF,2959.0,DF-1,Wide attacking defenders
Rani Khedira,Augsburg,Bundesliga,2018,MF,"MF,DF",2275.0,MF-0,Deep ball winning midfielders
Raphael Framberger,Augsburg,Bundesliga,2018,DF,DF,696.0,DF-1,Wide attacking defenders
Sergio Córdova,Augsburg,Bundesliga,2018,FW,"FW,MF",586.0,FW-0,Low involvement centre forwards
Arjen Robben,Bayern Munich,Bundesliga,2018,FW,"FW,MF",1507.0,FW-1,Creating and carrying forwards
Arturo Vidal,Bayern Munich,Bundesliga,2018,MF,MF,1456.0,MF-0,Deep ball winning midfielders
Corentin Tolisso,Bayern Munich,Bundesliga,2018,MF,MF,1575.0,MF-1,Advanced attacking midfielders
David Alaba,Bayern Munich,Bundesliga,2018,DF,DF,1551.0,DF-1,Wide attacking defenders
Franck Ribéry,Bayern Munich,Bundesliga,2018,FW,"FW,MF",1203.0,FW-1,Creating and carrying forwards
James Rodríguez,Bayern Munich,Bundesliga,2018,MF,MF,1621.0,MF-1,Advanced attacking midfielders
Javi Martínez,Bayern Munich,Bundesliga,2018,MF,"MF,DF",1609.0,MF-0,Deep ball winning midfielders
Joshua Kimmich,Bayern Munich,Bundesliga,2018,DF,DF,2329.0,DF-1,Wide attacking defenders
Juan Bernat,Bayern Munich,Bundesliga,2018,DF,"DF,FW",888.0,DF-1,Wide attacking defenders
Jérôme Boateng,Bayern Munich,Bundesliga,2018,DF,DF,1640.0,DF-0,Deep central defenders
Kingsley Coman,Bayern Munich,Bundesliga,2018,MF,"MF,FW",1153.0,MF-1,Advanced attacking midfielders
Mats Hummels,Bayern Munich,Bundesliga,2018,DF,DF,2213.0,DF-0,Deep central defenders
Niklas Süle,Bayern Munich,Bundesliga,2018,DF,DF,1926.0,DF-0,Deep central defenders
Rafinha,Bayern Munich,Bundesliga,2018,DF,DF,1851.0,DF-1,Wide attacking defenders
Robert Lewandowski,Bayern Munich,Bundesliga,2018,FW,FW,2172.0,FW-0,Low involvement centre forwards
Sandro Wagner,Bayern Munich,Bundesliga,2018,FW,FW,726.0,FW-0,Low involvement centre forwards
Sebastian Rudy,Bayern Munich,Bundesliga,2018,MF,MF,1515.0,MF-0,Deep ball winning midfielders
Thiago Alcántara,Bayern Munich,Bundesliga,2018,MF,"MF,FW",1247.0,MF-0,Deep ball winning midfielders
Thomas Müller,Bayern Munich,Bundesliga,2018,MF,"MF,FW",2005.0,MF-1,Advanced attacking midfielders
Andriy Yarmolenko,Dortmund,Bundesliga,2018,FW,"FW,MF",1039.0,FW-1,Creating and carrying forwards
André Schürrle,Dortmund,Bundesliga,2018,MF,"MF,FW",1236.0,MF-1,Advanced attacking midfielders
Christian Pulisic,Dortmund,Bundesliga,2018,FW,"FW,MF",2302.0,FW-1,Creating and carrying forwards
Dan-Axel Zagadou,Dortmund,Bundesliga,2018,DF,DF,657.0,DF-1,Wide attacking defenders
Gonzalo Castro,Dortmund,Bundesliga,2018,MF,MF,1206.0,MF-1,Advanced attacking midfielders
Jadon Sancho,Dortmund,Bundesliga,2018,FW,FW,690.0,FW-1,Creating and carrying forwards
Jeremy Toljan,Dortmund,Bundesliga,2018,DF,DF,1211.0,DF-1,Wide attacking defenders
Julian Weigl,Dortmund,Bundesliga,2018,MF,MF,1944.0,MF-0,Deep ball winning midfielders
Mahmoud Dahoud,Dortmund,Bundesliga,2018,MF,MF,1146.0,MF-1,Advanced attacking midfielders
Manuel Akanji,Dortmund,Bundesliga,2018,DF,DF,904.0,DF-0,Deep central defenders
Marc Bartra,Dortmund,Bundesliga,2018,DF,DF,807.0,DF-1,Wide attacking defenders
Marcel Schmelzer,Dortmund,Bundesliga,2018,DF,DF,1491.0,DF-1,Wide attacking defenders
Marco Reus,Dortmund,Bundesliga,2018,MF,MF,928.0,MF-1,Advanced attacking midfielders
Mario Götze,Dortmund,Bundesliga,2018,MF,MF,1601.0,MF-1,Advanced attacking midfielders
Maximilian Philipp,Dortmund,Bundesliga,2018,FW,"FW,MF",1203.0,FW-0,Low involvement centre forwards
Michy Batshuayi,Dortmund,Bundesliga,2018,FW,FW,839.0,FW-0,Low involvement centre forwards
Nuri Şahin,Dortmund,Bundesliga,2018,MF,MF,1225.0,MF-0,Deep ball winning midfielders
Pierre-Emerick Aubameyang,Dortmund,Bundesliga,2018,FW,FW,1416.0,FW-0,Low involvement centre forwards
Raphaël Guerreiro,Dortmund,Bundesliga,2018,DF,"DF,MF",547.0,DF-1,Wide attacking defenders
Shinji Kagawa,Dortmund,Bundesliga,2018,MF,MF,1166.0,MF-1,Advanced attacking midfielders
Sokratis Papastathopoulos,Dortmund,Bundesliga,2018,DF,DF,2373.0,DF-0,Deep central defenders
Ömer Toprak,Dortmund,Bundesliga,2018,DF,DF,2020.0,DF-0,Deep central defenders
Łukasz Piszczek,Dortmund,Bundesliga,2018,DF,DF,2138.0,DF-1,Wide attacking defenders
Ante Rebić,Eint Frankfurt,Bundesliga,2018,FW,"FW,MF",1751.0,FW-1,Creating and carrying forwards
Carlos Salcedo,Eint Frankfurt,Bundesliga,2018,DF,DF,1607.0,DF-0,Deep central defenders
Danny da Costa,Eint Frankfurt,Bundesliga,2018,DF,"DF,FW",1202.0,DF-1,Wide attacking defenders
David Abraham,Eint Frankfurt,Bundesliga,2018,DF,DF,2302.0,DF-0,Deep central defenders
Gelson Fernandes,Eint Frankfurt,Bundesliga,2018,MF,MF,1036.0,MF-0,Deep ball winning midfielders
Jetro Willems,Eint Frankfurt,Bundesliga,2018,FW,"FW,DF",1664.0,FW-1,Creating and carrying forwards
Jonathan de Guzmán,Eint Frankfurt,Bundesliga,2018,MF,MF,1092.0,MF-0,Deep ball winning midfielders
Kevin-Prince Boateng,Eint Frankfurt,Bundesliga,2018,MF,"MF,FW",2357.0,MF-0,Deep ball winning midfielders
Luka Jović,Eint Frankfurt,Bundesliga,2018,FW,FW,936.0,FW-0,Low involvement centre forwards
Makoto Hasebe,Eint Frankfurt,Bundesliga,2018,DF,"DF,MF",2090.0,DF-0,Deep central defenders
Marco Russ,Eint Frankfurt,Bundesliga,2018,DF,DF,1145.0,DF-0,Deep central defenders
Marius Wolf,Eint Frankfurt,Bundesliga,2018,MF,"MF,FW",2363.0,MF-1,Advanced attacking midfielders
Mijat Gaćinović,Eint Frankfurt,Bundesliga,2018,MF,MF,1815.0,MF-1,Advanced attacking midfielders
Omar Mascarell,Eint Frankfurt,Bundesliga,2018,MF,MF,771.0,MF-0,Deep ball winning midfielders
Simon Falette,Eint Frankfurt,Bundesliga,2018,DF,DF,2211.0,DF-0,Deep central defenders
Sébastien Haller,Eint Frankfurt,Bundesliga,2018,FW,FW,2347.0,FW-0,Low involvement centre forwards
Timothy Chandler,Eint Frankfurt,Bundesliga,2018,DF,"DF,FW",1892.0,DF-1,Wide attacking defenders
Amir Abrashi,Freiburg,Bundesliga,2018,MF,MF,850.0,MF-0,Deep ball winning midfielders
