season,player,team,position_group,position_full,minutes,cluster_within_group_label,archetype_name,distance_to_centroid,boundary_margin
2024-25,Ben White,Arsenal,DF,DF,1198,DF-1,Crossing and chance creating defenders,2.6784609477168964,0.4537380086976244
2024-25,Bukayo Saka,Arsenal,FW,"FW,MF",1729,FW-1,Crossing and creating wide forwards,6.230972948807466,2.3406489148196084
2024-25,Declan Rice,Arsenal,MF,MF,2825,MF-1,High attacking involvement midfielders,3.316491789706725,1.0872849059330552
2024-25,Ethan Nwaneri,Arsenal,FW,"FW,MF",895,FW-1,Crossing and creating wide forwards,2.9839734569085996,1.8589185682485567
2024-25,Gabriel Jesus,Arsenal,FW,FW,608,FW-0,Shot taking central forwards,5.68371595951017,1.1621195250316045
2024-25,Gabriel Magalhães,Arsenal,DF,DF,2363,DF-0,Low attacking involvement defenders,4.16775705118656,0.5816522763375955
2024-25,Gabriel Martinelli,Arsenal,FW,"FW,MF",2290,FW-1,Crossing and creating wide forwards,2.165570683106762,1.5662254734899048
2024-25,Jakub Kiwior,Arsenal,DF,DF,1122,DF-0,Low attacking involvement defenders,3.045620579335601,2.2909300713819944
2024-25,Jorginho,Arsenal,MF,MF,704,MF-0,"Ball winning, low attacking involvement midfielders",4.847054237888227,3.0150623648890367
2024-25,Jurriën Timber,Arsenal,DF,DF,2417,DF-1,Crossing and chance creating defenders,3.254665049754168,0.7152017402088915
2024-25,Kai Havertz,Arsenal,FW,FW,1875,FW-0,Shot taking central forwards,1.7950476821007584,2.1524539628951036
2024-25,Leandro Trossard,Arsenal,FW,FW,2546,FW-1,Crossing and creating wide forwards,1.2779078878565642,3.0024421727277684
2024-25,Martin Ødegaard,Arsenal,MF,MF,2325,MF-1,High attacking involvement midfielders,3.5569397836853978,2.418435960365589
2024-25,Mikel Merino,Arsenal,MF,"MF,FW",1586,MF-1,High attacking involvement midfielders,4.279913861593879,1.1809820886791398
2024-25,Myles Lewis-Skelly,Arsenal,DF,DF,1369,DF-0,Low attacking involvement defenders,5.974810453229626,0.8897056340940379
2024-25,Oleksandr Zinchenko,Arsenal,DF,"DF,MF",527,DF-1,Crossing and chance creating defenders,5.556646610930395,0.7141540778022408
2024-25,Raheem Sterling,Arsenal,FW,"FW,MF",499,FW-1,Crossing and creating wide forwards,5.728974363758619,1.9664854281551971
2024-25,Riccardo Calafiori,Arsenal,DF,DF,983,DF-1,Crossing and chance creating defenders,5.537838096488037,1.108614556617443
2024-25,Thomas Partey,Arsenal,MF,"MF,DF",2797,MF-0,"Ball winning, low attacking involvement midfielders",2.8959665046737224,2.2741297326394583
2024-25,William Saliba,Arsenal,DF,DF,3039,DF-0,Low attacking involvement defenders,3.39639698163191,1.8975407395922046
2024-25,Amadou Onana,Aston Villa,MF,MF,1617,MF-0,"Ball winning, low attacking involvement midfielders",3.3749872052658354,2.245826497886089
2024-25,Boubacar Kamara,Aston Villa,MF,"MF,DF",1726,MF-0,"Ball winning, low attacking involvement midfielders",2.3017424026789515,3.338098721139022
2024-25,Diego Carlos,Aston Villa,DF,DF,830,DF-0,Low attacking involvement defenders,3.3593902435685714,2.342069257524171
2024-25,Ezri Konsa,Aston Villa,DF,DF,2936,DF-0,Low attacking involvement defenders,3.180111449939046,2.2989926003883667
2024-25,Ian Maatsen,Aston Villa,DF,DF,1139,DF-1,Crossing and chance creating defenders,5.1794062147726505,3.227565769514606
2024-25,Jacob Ramsey,Aston Villa,MF,MF,1623,MF-0,"Ball winning, low attacking involvement midfielders",2.838080382166509,1.1232506616423223
2024-25,John McGinn,Aston Villa,MF,MF,2223,MF-0,"Ball winning, low attacking involvement midfielders",3.2887554868422364,1.2209735035761118
2024-25,Jáder Durán,Aston Villa,FW,FW,638,FW-0,Shot taking central forwards,7.282593285780595,2.4616374511019368
2024-25,Lamare Bogarde,Aston Villa,DF,"DF,MF",476,DF-0,Low attacking involvement defenders,5.838478400624462,1.153193231625604
2024-25,Leon Bailey,Aston Villa,MF,MF,1139,MF-1,High attacking involvement midfielders,3.039663385024489,0.7773065972868403
2024-25,Lucas Digne,Aston Villa,DF,DF,2351,DF-1,Crossing and chance creating defenders,4.500279353636075,2.2020593747789823
2024-25,Marco Asensio,Aston Villa,MF,MF,743,MF-1,High attacking involvement midfielders,2.768577444585644,3.4409982944644715
2024-25,Matty Cash,Aston Villa,DF,DF,2070,DF-0,Low attacking involvement defenders,4.0101356432530215,1.6772228096472368
2024-25,Morgan Rogers,Aston Villa,MF,MF,3114,MF-1,High attacking involvement midfielders,2.6489806366031297,1.7826918526065696
2024-25,Ollie Watkins,Aston Villa,FW,FW,2598,FW-0,Shot taking central forwards,2.2964538271199295,2.292578913056955
2024-25,Pau Torres,Aston Villa,DF,DF,2020,DF-0,Low attacking involvement defenders,2.7004068746137477,3.03912449179244
